Unnamed: 0,pais_hecho,departamento_hecho,ciudad_hecho,lugar_zona,anio_inicio,anio_fin,hechos_continuan,victimas_identificadas,victimas_total,responsables_identificados,tc_tc_politico,v_a_m_carta,v_a_m_correo_e,v_a_m_familiar,v_a_m_hostigamiento,v_a_m_mensaje_celular,v_a_m_panfleto,v_a_m_redes_sociales,v_a_m_seguimiento,v_a_m_sufragio,v_a_m_telefono,v_a_m_verbal,v_amenaza,v_amenaza_ind_col,v_at_civil_ataque_bienes,v_at_civil_herido_bomba,v_at_civil_herido_combate,v_at_civil_minas,v_at_herido,v_at_sin_lesiones,v_confinamiento,v_d_m_cuerpo_entregado,v_d_m_destruccion_cuerpos,v_d_m_encontrada_viva,v_d_m_encontrado_identificado,v_d_m_encontrado_sin_identificar,v_d_m_fosa_comun,v_d_m_paradero_desconocido,v_desaparicion_forzada,v_desplazamiento,v_despojo,v_m_ataque_bienes,v_m_atentado_bombas,v_m_combates,v_m_homicidio,v_m_masacre,v_m_minas,v_m_sevicia,v_t_m_aislamiento,v_t_m_alimentacion,v_t_m_amenazas,v_t_m_animales,v_t_m_asfixia_bolsas,v_t_m_asfixia_inmersion,v_t_m_asfixia_otros,v_t_m_castigos,v_t_m_colgamiento,v_t_m_drogas,v_t_m_electricidad,v_t_m_escarnio,v_t_m_falta_atencion_medica,v_t_m_golpes_con_instrumentos,v_t_m_golpes_sin_instrumentos,v_t_m_hacinamiento,v_t_m_higiene,v_t_m_humillacion_racial,v_t_m_incomunicacion,v_t_m_insultos,v_t_m_mordazas,v_t_m_musica_estridente,v_t_m_presenciar_tortura,v_t_m_quemaduras,v_t_m_seguimientos,v_t_m_senyalamientos,v_t_m_suenyo,v_t_m_temperaturas_extremas,v_t_m_trabajo_forzado,v_t_m_vendaje,v_tortura_fisica,v_tortura_fisica_ind_col,v_tortura_fisica_publico,v_tortura_psicologica,v_tortura_psicologica_ind_col,v_tortura_psicologica_publico,v_vs_aborto_forzado,v_vs_aborto_forzado_embarazo,v_vs_aborto_forzado_embarazo_nacimiento,v_vs_aborto_forzado_ind_col,v_vs_aborto_forzado_multiple_responsable,v_vs_aborto_forzado_publico,v_vs_acoso_sexual,v_vs_acoso_sexual_embarazo,v_vs_acoso_sexual_embarazo_nacimiento,v_vs_acoso_sexual_ind_col,v_vs_acoso_sexual_multiple_responsable,v_vs_acoso_sexual_publico,v_vs_amenaza,v_vs_amenaza_embarazo,v_vs_amenaza_embarazo_nacimiento,v_vs_amenaza_ind_col,v_vs_amenaza_multiple_responsable,v_vs_amenaza_publico,v_vs_cambios_forzados_embarazo,v_vs_cambios_forzados_embarazo_nacimiento,v_vs_cambios_forzados_ind_col,v_vs_cambios_forzados_multiple_responsable,v_vs_cambios_forzados_publico,v_vs_desnudez_forzada,v_vs_desnudez_forzada_embarazo,v_vs_desnudez_forzada_ind_col,v_vs_desnudez_forzada_multiple_responsable,v_vs_desnudez_forzada_publico,v_vs_embarazo_forzado,v_vs_embarazo_forzado_embarazo,v_vs_embarazo_forzado_ind_col,v_vs_embarazo_forzado_multiple_responsable,v_vs_embarazo_forzado_publico,v_vs_esclavitud,v_vs_esclavitud_embarazo,v_vs_esclavitud_embarazo_nacimiento,v_vs_esclavitud_ind_col,v_vs_esclavitud_multiple_responsable,v_vs_esclavitud_publico,v_vs_maternidad_forzada_ind_col,v_vs_obligar_presenciar,v_vs_obligar_presenciar_embarazo,v_vs_obligar_presenciar_embarazo_nacimiento,v_vs_obligar_presenciar_ind_col,v_vs_obligar_presenciar_multiple_responsable,v_vs_obligar_presenciar_publico,v_vs_obligar_realizar,v_vs_obligar_realizar_embarazo,v_vs_obligar_realizar_embarazo_nacimiento,v_vs_obligar_realizar_ind_col,v_vs_obligar_realizar_multiple_responsable,v_vs_obligar_realizar_publico,v_vs_violacion_sexual,v_vs_violacion_sexual_embarazo,v_vs_violacion_sexual_embarazo_nacimiento,v_vs_violacion_sexual_ind_col,v_vs_violacion_sexual_multiple_responsable,v_vs_violacion_sexual_publico,id
879,Colombia,Amazonas,Leticia,Rural,2011,,0,1,1,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,Sin Especificar,0,0,0,0,0,1,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,Sin Especificar,Sin Especificar,0.0,Sin Especificar,Sin Especificar,0.0,Sin Especificar,Sin Especificar,Sin Especificar,Sin Especificar,Sin Especificar,0.0,Sin Especificar,Sin Especificar,Sin Especificar,Sin Especificar,Sin Especificar,0.0,Sin Especificar,Sin Especificar,Sin Especificar,Sin Especificar,Sin Especificar,Sin Especificar,Sin Especificar,Sin Especificar,Sin Especificar,Sin Especificar,0.0,Sin Especificar,Sin Especificar,Sin Especificar,Sin Especificar,0.0,Sin Especificar,Sin Especificar,Sin Especificar,Sin Especificar,0.0,Sin Especificar,Sin Especificar,Sin Especificar,Sin Especificar,Sin Especificar,Sin Especificar,0.0,Sin Especificar,Sin Especificar,Sin Especificar,Sin Especificar,Sin Especificar,0.0,Sin Especificar,Sin Especificar,Sin Especificar,Sin Especificar,Sin Especificar,0.0,Sin Especificar,Sin Especificar,Sin Especificar,Sin Especificar,Sin Especificar,879
880,Colombia,"Bogotá, D.c.","Bogotá, D.c.",Urbana,2014,,0,1,1,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,Sin Especificar,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,Sin Especificar,Sin Especificar,0.0,Sin Especificar,Sin Especificar,0.0,Sin Especificar,Sin Especificar,Sin Especificar,Sin Especificar,Sin Especificar,0.0,Sin Especificar,Sin Especificar,Sin Especificar,Sin Especificar,Sin Especificar,0.0,Sin Especificar,Sin Especificar,Sin Especificar,Sin Especificar,Sin Especificar,Sin Especificar,Sin Especificar,Sin Especificar,Sin Especificar,Sin Especificar,0.0,Sin Especificar,Sin Especificar,Sin Especificar,Sin Especificar,0.0,Sin Especificar,Sin Especificar,Sin Especificar,Sin Especificar,0.0,Sin Especificar,Sin Especificar,Sin Especificar,Sin Especificar,Sin Especificar,Sin Especificar,0.0,Sin Especificar,Sin Especificar,Sin Especificar,Sin Especificar,Sin Especificar,0.0,Sin Especificar,Sin Especificar,Sin Especificar,Sin Especificar,Sin Especificar,0.0,Sin Especificar,Sin Especificar,Sin Especificar,Sin Especificar,Sin Especificar,880
881,Colombia,Amazonas,Leticia,Rural,2015,,0,1,1,0,1.0,0,0,1,0,0,0,0,0,0,0,0,1,Individual,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,Sin Especificar,Sin Especificar,0.0,Sin Especificar,Sin Especificar,0.0,Sin Especificar,Sin Especificar,Sin Especificar,Sin Especificar,Sin Especificar,0.0,Sin Especificar,Sin Especificar,Sin Especificar,Sin Especificar,Sin Especificar,0.0,Sin Especificar,Sin Especificar,Sin Especificar,Sin Especificar,Sin Especificar,Sin Especificar,Sin Especificar,Sin Especificar,Sin Especificar,Sin Especificar,0.0,Sin Especificar,Sin Especificar,Sin Especificar,Sin Especificar,0.0,Sin Especificar,Sin Especificar,Sin Especificar,Sin Especificar,0.0,Sin Especificar,Sin Especificar,Sin Especificar,Sin Especificar,Sin Especificar,Sin Especificar,0.0,Sin Especificar,Sin Especificar,Sin Especificar,Sin Especificar,Sin Especificar,0.0,Sin Especificar,Sin Especificar,Sin Especificar,Sin Especificar,Sin Especificar,0.0,Sin Especificar,Sin Especificar,Sin Especificar,Sin Especificar,Sin Especificar,881
882,Colombia,Antioquia,Ituango,Rural,2008,2008.0,0,1,1,0,0.0,0,0,0,0,0,0,0,0,0,0,1,1,Colectivo,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,Sin Especificar,Sin Especificar,0.0,Sin Especificar,Sin Especificar,0.0,Sin Especificar,Sin Especificar,Sin Especificar,Sin Especificar,Sin Especificar,0.0,Sin Especificar,Sin Especificar,Sin Especificar,Sin Especificar,Sin Especificar,0.0,Sin Especificar,Sin Especificar,Sin Especificar,Sin Especificar,Sin Especificar,Sin Especificar,Sin Especificar,Sin Especificar,Sin Especificar,Sin Especificar,0.0,Sin Especificar,Sin Especificar,Sin Especificar,Sin Especificar,0.0,Sin Especificar,Sin Especificar,Sin Especificar,Sin Especificar,0.0,Sin Especificar,Sin Especificar,Sin Especificar,Sin Especificar,Sin Especificar,Sin Especificar,0.0,Sin Especificar,Sin Especificar,Sin Especificar,Sin Especificar,Sin Especificar,0.0,Sin Especificar,Sin Especificar,Sin Especificar,Sin Especificar,Sin Especificar,0.0,Sin Especificar,Sin Especificar,Sin Especificar,Sin Especificar,Sin Especificar,882
883,Colombia,Antioquia,Ituango,Rural,2002,2002.0,0,4,4,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,Sin Especificar,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,Sin Especificar,Sin Especificar,0.0,Sin Especificar,Sin Especificar,0.0,Sin Especificar,Sin Especificar,Sin Especificar,Sin Especificar,Sin Especificar,0.0,Sin Especificar,Sin Especificar,Sin Especificar,Sin Especificar,Sin Especificar,0.0,Sin Especificar,Sin Especificar,Sin Especificar,Sin Especificar,Sin Especificar,Sin Especificar,Sin Especificar,Sin Especificar,Sin Especificar,Sin Especificar,0.0,Sin Especificar,Sin Especificar,Sin Especificar,Sin Especificar,0.0,Sin Especificar,Sin Especificar,Sin Especificar,Sin Especificar,0.0,Sin Especificar,Sin Especificar,Sin Especificar,Sin Especificar,Sin Especificar,Sin Especificar,0.0,Sin Especificar,Sin Especificar,Sin Especificar,Sin Especificar,Sin Especificar,0.0,Sin Especificar,Sin Especificar,Sin Especificar,Sin Especificar,Sin Especificar,0.0,Sin Especificar,Sin Especificar,Sin Especificar,Sin Especificar,Sin Especificar,883
884,Colombia,Antioquia,Ituango,Rural,2008,2008.0,0,5,4,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,Sin Especificar,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,Sin Especificar,Sin Especificar,0.0,Sin Especificar,Sin Especificar,0.0,Sin Especificar,Sin Especificar,Sin Especificar,Sin Especificar,Sin Especificar,0.0,Sin Especificar,Sin Especificar,Sin Especificar,Sin Especificar,Sin Especificar,0.0,Sin Especificar,Sin Especificar,Sin Especificar,Sin Especificar,Sin Especificar,Sin Especificar,Sin Especificar,Sin Especificar,Sin Especificar,Sin Especificar,0.0,Sin Especificar,Sin Especificar,Sin Especificar,Sin Especificar,0.0,Sin Especificar,Sin Especificar,Sin Especificar,Sin Especificar,0.0,Sin Especificar,Sin Especificar,Sin Especificar,Sin Especificar,Sin Especificar,Sin Especificar,0.0,Sin Especificar,Sin Especificar,Sin Especificar,Sin Especificar,Sin Especificar,0.0,Sin Especificar,Sin Especificar,Sin Especificar,Sin Especificar,Sin Especificar,0.0,Sin Especificar,Sin Especificar,Sin Especificar,Sin Especificar,Sin Especificar,884
885,Colombia,Huila,Palermo,Rural,1997,2000.0,0,1,1,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,Sin Especificar,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,Sin Especificar,Sin Especificar,0.0,Sin Especificar,Sin Especificar,0.0,Sin Especificar,Sin Especificar,Sin Especificar,Sin Especificar,Sin Especificar,0.0,Sin Especificar,Sin Especificar,Sin Especificar,Sin Especificar,Sin Especificar,0.0,Sin Especificar,Sin Especificar,Sin Especificar,Sin Especificar,Sin Especificar,Sin Especificar,Sin Especificar,Sin Especificar,Sin Especificar,Sin Especificar,0.0,Sin Especificar,Sin Especificar,Sin Especificar,Sin Especificar,0.0,Sin Especificar,Sin Especificar,Sin Especificar,Sin Especificar,0.0,Sin Especificar,Sin Especificar,Sin Especificar,Sin Especificar,Sin Especificar,Sin Especificar,0.0,Sin Especificar,Sin Especificar,Sin Especificar,Sin Especificar,Sin Especificar,0.0,Sin Especificar,Sin Especificar,Sin Especificar,Sin Especificar,Sin Especificar,0.0,Sin Especificar,Sin Especificar,Sin Especificar,Sin Especificar,Sin Especificar,885
886,Colombia,Huila,Palermo,Rural,2004,,0,1,1,0,0.0,0,0,0,0,0,1,0,0,0,0,0,1,Colectivo,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,Sin Especificar,Sin Especificar,0.0,Sin Especificar,Sin Especificar,0.0,Sin Especificar,Sin Especificar,Sin Especificar,Sin Especificar,Sin Especificar,0.0,Sin Especificar,Sin Especificar,Sin Especificar,Sin Especificar,Sin Especificar,0.0,Sin Especificar,Sin Especificar,Sin Especificar,Sin Especificar,Sin Especificar,Sin Especificar,Sin Especificar,Sin Especificar,Sin Especificar,Sin Especificar,0.0,Sin Especificar,Sin Especificar,Sin Especificar,Sin Especificar,0.0,Sin Especificar,Sin Especificar,Sin Especificar,Sin Especificar,0.0,Sin Especificar,Sin Especificar,Sin Especificar,Sin Especificar,Sin Especificar,Sin Especificar,0.0,Sin Especificar,Sin Especificar,Sin Especificar,Sin Especificar,Sin Especificar,0.0,Sin Especificar,Sin Especificar,Sin Especificar,Sin Especificar,Sin Especificar,0.0,Sin Especificar,Sin Especificar,Sin Especificar,Sin Especificar,Sin Especificar,886
887,Colombia,Putumayo,Puerto Leguízamo,Rural,1996,,0,1,1,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,Sin Especificar,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,Sin Especificar,Sin Especificar,0.0,Sin Especificar,Sin Especificar,0.0,Sin Especificar,Sin Especificar,Sin Especificar,Sin Especificar,Sin Especificar,0.0,Sin Especificar,Sin Especificar,Sin Especificar,Sin Especificar,Sin Especificar,0.0,Sin Especificar,Sin Especificar,Sin Especificar,Sin Especificar,Sin Especificar,Sin Especificar,Sin Especificar,Sin Especificar,Sin Especificar,Sin Especificar,0.0,Sin Especificar,Sin Especificar,Sin Especificar,Sin Especificar,0.0,Sin Especificar,Sin Especificar,Sin Especificar,Sin Especificar,0.0,Sin Especificar,Sin Especificar,Sin Especificar,Sin Especificar,Sin Especificar,Sin Especificar,0.0,Sin Especificar,Sin Especificar,Sin Especificar,Sin Especificar,Sin Especificar,0.0,Sin Especificar,Sin Especificar,Sin Especificar,Sin Especificar,Sin Especificar,0.0,Sin Especificar,Sin Especificar,Sin Especificar,Sin Especificar,Sin Especificar,887
888,Colombia,Antioquia,Ituango,Rural,2002,,0,1,1,0,0.0,0,0,0,0,0,0,0,0,0,0,1,1,Colectivo,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,Sin Especificar,Sin Especificar,0.0,Sin Especificar,Sin Especificar,0.0,Sin Especificar,Sin Especificar,Sin Especificar,Sin Especificar,Sin Especificar,0.0,Sin Especificar,Sin Especificar,Sin Especificar,Sin Especificar,Sin Especificar,0.0,Sin Especificar,Sin Especificar,Sin Especificar,Sin Especificar,Sin Especificar,Sin Especificar,Sin Especificar,Sin Especificar,Sin Especificar,Sin Especificar,0.0,Sin Especificar,Sin Especificar,Sin Especificar,Sin Especificar,0.0,Sin Especificar,Sin Especificar,Sin Especificar,Sin Especificar,0.0,Sin Especificar,Sin Especificar,Sin Especificar,Sin Especificar,Sin Especificar,Sin Especificar,0.0,Sin Especificar,Sin Especificar,Sin Especificar,Sin Especificar,Sin Especificar,0.0,Sin Especificar,Sin Especificar,Sin Especificar,Sin Especificar,Sin Especificar,0.0,Sin Especificar,Sin Especificar,Sin Especificar,Sin Especificar,Sin Especificar,888
889,Colombia,Antioquia,Dabeiba,Rural,1993,,0,1,1,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,Sin Especificar,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,Sin Especificar,Sin Especificar,0.0,Sin Especificar,Sin Especificar,0.0,Sin Especificar,Sin Especificar,Sin Especificar,Sin Especificar,Sin Especificar,0.0,Sin Especificar,Sin Especificar,Sin Especificar,Sin Especificar,Sin Especificar,0.0,Sin Especificar,Sin Especificar,Sin Especificar,Sin Especificar,Sin Especificar,Sin Especificar,Sin Especificar,Sin Especificar,Sin Especificar,Sin Especificar,0.0,Sin Especificar,Sin Especificar,Sin Especificar,Sin Especificar,0.0,Sin Especificar,Sin Especificar,Sin Especificar,Sin Especificar,0.0,Sin Especificar,Sin Especificar,Sin Especificar,Sin Especificar,Sin Especificar,Sin Especificar,0.0,Sin Especificar,Sin Especificar,Sin Especificar,Sin Especificar,Sin Especificar,0.0,Sin Especificar,Sin Especificar,Sin Especificar,Sin Especificar,Sin Especificar,0.0,Sin Especificar,Sin Especificar,Sin Especificar,Sin Especificar,Sin Especificar,889
890,Colombia,Putumayo,Puerto Leguízamo,Rural,1996,,0,1,1,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,Sin Especificar,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,Sin Especificar,Sin Especificar,0.0,Sin Especificar,Sin Especificar,0.0,Sin Especificar,Sin Especificar,Sin Especificar,Sin Especificar,Sin Especificar,0.0,Sin Especificar,Sin Especificar,Sin Especificar,Sin Especificar,Sin Especificar,0.0,Sin Especificar,Sin Especificar,Sin Especificar,Sin Especificar,Sin Especificar,Sin Especificar,Sin Especificar,Sin Especificar,Sin Especificar,Sin Especificar,0.0,Sin Especificar,Sin Especificar,Sin Especificar,Sin Especificar,0.0,Sin Especificar,Sin Especificar,Sin Especificar,Sin Especificar,0.0,Sin Especificar,Sin Especificar,Sin Especificar,Sin Especificar,Sin Especificar,Sin Especificar,0.0,Sin Especificar,Sin Especificar,Sin Especificar,Sin Especificar,Sin Especificar,0.0,Sin Especificar,Sin Especificar,Sin Especificar,Sin Especificar,Sin Especificar,0.0,Sin Especificar,Sin Especificar,Sin Especificar,Sin Especificar,Sin Especificar,890
891,Colombia,Antioquia,Turbo,Rural,1984,,0,2,1,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,Sin Especificar,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,1.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,Sin Especificar,Sin Especificar,0.0,Sin Especificar,Sin Especificar,0.0,Sin Especificar,Sin Especificar,Sin Especificar,Sin Especificar,Sin Especificar,0.0,Sin Especificar,Sin Especificar,Sin Especificar,Sin Especificar,Sin Especificar,0.0,Sin Especificar,Sin Especificar,Sin Especificar,Sin Especificar,Sin Especificar,Sin Especificar,Sin Especificar,Sin Especificar,Sin Especificar,Sin Especificar,0.0,Sin Especificar,Sin Especificar,Sin Especificar,Sin Especificar,0.0,Sin Especificar,Sin Especificar,Sin Especificar,Sin Especificar,0.0,Sin Especificar,Sin Especificar,Sin Especificar,Sin Especificar,Sin Especificar,Sin Especificar,0.0,Sin Especificar,Sin Especificar,Sin Especificar,Sin Especificar,Sin Especificar,0.0,Sin Especificar,Sin Especificar,Sin Especificar,Sin Especificar,Sin Especificar,0.0,Sin Especificar,Sin Especificar,Sin Especificar,Sin Especificar,Sin Especificar,891
892,Colombia,Antioquia,Dabeiba,Rural,1994,,0,7,7,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,Sin Especificar,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,Sin Especificar,Sin Especificar,0.0,Sin Especificar,Sin Especificar,0.0,Sin Especificar,Sin Especificar,Sin Especificar,Sin Especificar,Sin Especificar,0.0,Sin Especificar,Sin Especificar,Sin Especificar,Sin Especificar,Sin Especificar,0.0,Sin Especificar,Sin Especificar,Sin Especificar,Sin Especificar,Sin Especificar,Sin Especificar,Sin Especificar,Sin Especificar,Sin Especificar,Sin Especificar,0.0,Sin Especificar,Sin Especificar,Sin Especificar,Sin Especificar,0.0,Sin Especificar,Sin Especificar,Sin Especificar,Sin Especificar,0.0,Sin Especificar,Sin Especificar,Sin Especificar,Sin Especificar,Sin Especificar,Sin Especificar,0.0,Sin Especificar,Sin Especificar,Sin Especificar,Sin Especificar,Sin Especificar,0.0,Sin Especificar,Sin Especificar,Sin Especificar,Sin Especificar,Sin Especificar,0.0,Sin Especificar,Sin Especificar,Sin Especificar,Sin Especificar,Sin Especificar,892
893,Colombia,Cesar,Valledupar,Rural,1997,2008.0,0,1,1,0,0.0,0,0,0,0,0,0,0,0,0,0,1,1,Individual,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,Sin Especificar,Sin Especificar,0.0,Sin Especificar,Sin Especificar,0.0,Sin Especificar,Sin Especificar,Sin Especificar,Sin Especificar,Sin Especificar,0.0,Sin Especificar,Sin Especificar,Sin Especificar,Sin Especificar,Sin Especificar,0.0,Sin Especificar,Sin Especificar,Sin Especificar,Sin Especificar,Sin Especificar,Sin Especificar,Sin Especificar,Sin Especificar,Sin Especificar,Sin Especificar,0.0,Sin Especificar,Sin Especificar,Sin Especificar,Sin Especificar,0.0,Sin Especificar,Sin Especificar,Sin Especificar,Sin Especificar,0.0,Sin Especificar,Sin Especificar,Sin Especificar,Sin Especificar,Sin Especificar,Sin Especificar,0.0,Sin Especificar,Sin Especificar,Sin Especificar,Sin Especificar,Sin Especificar,0.0,Sin Especificar,Sin Especificar,Sin Especificar,Sin Especificar,Sin Especificar,0.0,Sin Especificar,Sin Especificar,Sin Especificar,Sin Especificar,Sin Especificar,893
894,Colombia,Antioquia,Ituango,Rural,2008,2008.0,0,1,1,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,Sin Especificar,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,Sin Especificar,Sin Especificar,0.0,Sin Especificar,Sin Especificar,0.0,Sin Especificar,Sin Especificar,Sin Especificar,Sin Especificar,Sin Especificar,0.0,Sin Especificar,Sin Especificar,Sin Especificar,Sin Especificar,Sin Especificar,0.0,Sin Especificar,Sin Especificar,Sin Especificar,Sin Especificar,Sin Especificar,Sin Especificar,Sin Especificar,Sin Especificar,Sin Especificar,Sin Especificar,0.0,Sin Especificar,Sin Especificar,Sin Especificar,Sin Especificar,0.0,Sin Especificar,Sin Especificar,Sin Especificar,Sin Especificar,0.0,Sin Especificar,Sin Especificar,Sin Especificar,Sin Especificar,Sin Especificar,Sin Especificar,0.0,Sin Especificar,Sin Especificar,Sin Especificar,Sin Especificar,Sin Especificar,0.0,Sin Especificar,Sin Especificar,Sin Especificar,Sin Especificar,Sin Especificar,0.0,Sin Especificar,Sin Especificar,Sin Especificar,Sin Especificar,Sin Especificar,894
895,Colombia,Antioquia,Turbo,Rural,2017,,0,1,5,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,Sin Especificar,0,0,0,0,1,0,0.0,0,0,0,0,0,0,0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,Sin Especificar,Sin Especificar,0.0,Sin Especificar,Sin Especificar,0.0,Sin Especificar,Sin Especificar,Sin Especificar,Sin Especificar,Sin Especificar,0.0,Sin Especificar,Sin Especificar,Sin Especificar,Sin Especificar,Sin Especificar,0.0,Sin Especificar,Sin Especificar,Sin Especificar,Sin Especificar,Sin Especificar,Sin Especificar,Sin Especificar,Sin Especificar,Sin Especificar,Sin Especificar,0.0,Sin Especificar,Sin Especificar,Sin Especificar,Sin Especificar,0.0,Sin Especificar,Sin Especificar,Sin Especificar,Sin Especificar,0.0,Sin Especificar,Sin Especificar,Sin Especificar,Sin Especificar,Sin Especificar,Sin Especificar,0.0,Sin Especificar,Sin Especificar,Sin Especificar,Sin Especificar,Sin Especificar,0.0,Sin Especificar,Sin Especificar,Sin Especificar,Sin Especificar,Sin Especificar,0.0,Sin Especificar,Sin Especificar,Sin Especificar,Sin Especificar,Sin Especificar,895
896,Colombia,Risaralda,Quinchía,Rural,1996,,0,5,5,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,Sin Especificar,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,Sin Especificar,Sin Especificar,0.0,Sin Especificar,Sin Especificar,0.0,Sin Especificar,Sin Especificar,Sin Especificar,Sin Especificar,Sin Especificar,0.0,Sin Especificar,Sin Especificar,Sin Especificar,Sin Especificar,Sin Especificar,0.0,Sin Especificar,Sin Especificar,Sin Especificar,Sin Especificar,Sin Especificar,Sin Especificar,Sin Especificar,Sin Especificar,Sin Especificar,Sin Especificar,0.0,Sin Especificar,Sin Especificar,Sin Especificar,Sin Especificar,0.0,Sin Especificar,Sin Especificar,Sin Especificar,Sin Especificar,0.0,Sin Especificar,Sin Especificar,Sin Especificar,Sin Especificar,Sin Especificar,Sin Especificar,0.0,Sin Especificar,Sin Especificar,Sin Especificar,Sin Especificar,Sin Especificar,0.0,Sin Especificar,Sin Especificar,Sin Especificar,Sin Especificar,Sin Especificar,0.0,Sin Especificar,Sin Especificar,Sin Especificar,Sin Especificar,Sin Especificar,896
